,H1_AvgAnnual_MWhyr,H2_FirmMonthly_MWh,E1_MAE_m3s,E2_RunOfRiver_OFF_share
ClosedGates,182868.89019317462,12411.709258090816,2939.7890607554705,0.0
SeasonalOpen,105060.67899317466,0.0,2514.158319690198,0.005288569503705367
YearRoundEF,182938.23797499284,12463.142196272633,2939.8566414157285,0.0
