Year,Month,Day,Qinflow_cms
1981,9,8,5727.50879
1981,9,9,5916.97949
1981,9,10,6001.64111
1981,9,11,5943.32031
1981,9,12,5759.47266
1981,9,13,5526.25439
1981,9,14,5254.08496
1981,9,15,4979.08398
1981,9,16,4684.89795
1981,9,17,4411.02734
1981,9,18,4229.59717
1981,9,19,4150.16943
1981,9,20,4121.44678
1981,9,21,4135.82373
1981,9,22,4166.53613
1981,9,23,4240.40088
1981,9,24,4375.59326
1981,9,25,4458.11865
1981,9,26,4456.7124
1981,9,27,4432.19629
1981,9,28,4412.0625
1981,9,29,4346.70508
1981,9,30,4203.73584
1981,10,1,4024.71606
1981,10,2,3925.14136
1981,10,3,3904.59326
1981,10,4,4025.7666
1981,10,5,4271.46924
1981,10,6,4540.76562
1981,10,7,4747.58545
1981,10,8,4838.06055
1981,10,9,4892.58008
1981,10,10,4993.58838
1981,10,11,5156.76318
1981,10,12,5363.57764
1981,10,13,5484.97705
1981,10,14,5482.83496
1981,10,15,5400.14551
1981,10,16,5252.1416
1981,10,17,5097.75342
1981,10,18,5021.11621
1981,10,19,5050.6543
1981,10,20,5129.16455
1981,10,21,5303.06836
1981,10,22,5599.95947
1981,10,23,6009.61084
1981,10,24,6435.34766
1981,10,25,6665.70752
1981,10,26,6624.97803
1981,10,27,6412.31689
1981,10,28,6102.82373
1981,10,29,5708.43994
1981,10,30,5239.23975
1981,10,31,4757.62891
1981,11,1,4324.01074
1981,11,2,3949.5293
1981,11,3,3581.03491
1981,11,4,3258.35229
1981,11,5,2998.12695
1981,11,6,2745.30078
1981,11,7,2510.53369
1981,11,8,2336.90698
1981,11,9,2281.45337
1981,11,10,2377.17749
1981,11,11,2600.52319
1981,11,12,2804.42871
1981,11,13,2852.22705
1981,11,14,2787.41211
1981,11,15,2722.42383
1981,11,16,2743.77441
1981,11,17,2825.37817
1981,11,18,2884.29834
1981,11,19,2928.9248
1981,11,20,2975.24512
1981,11,21,2982.91382
1981,11,22,2904.41479
1981,11,23,2715.49658
1981,11,24,2413.70068
1981,11,25,2031.27844
1981,11,26,1632.71533
1981,11,27,1277.34607
1981,11,28,987.421204
1981,11,29,758.120422
1981,11,30,588.945007
1981,12,1,482.605743
1981,12,2,429.505798
1981,12,3,405.654816
1981,12,4,395.504852
1981,12,5,388.875031
1981,12,6,378.499847
1981,12,7,367.842163
1981,12,8,362.791595
1981,12,9,363.457825
1981,12,10,367.19989
1981,12,11,373.73999
1981,12,12,384.893768
1981,12,13,394.483704
1981,12,14,389.120178
1981,12,15,368.639862
1981,12,16,343.673553
1981,12,17,321.34079
1981,12,18,302.740356
1981,12,19,286.951141
1981,12,20,272.953186
1981,12,21,261.44931
1981,12,22,252.561127
1981,12,23,245.552094
1981,12,24,239.821701
1981,12,25,235.104141
1981,12,26,231.32106
1981,12,27,228.334274
1981,12,28,225.949753
1981,12,29,224.010162
1981,12,30,222.398102
1981,12,31,246.368362
1982,1,1,304.605042
1982,1,2,321.033264
1982,1,3,320.305298
1982,1,4,319.741241
1982,1,5,319.645294
1982,1,6,319.369171
